sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,SPY
Communication Services,1.0,0.7484278667031246,0.3921166531073835,0.48543372836789905,0.7735210895635773,0.600022835680129,0.7375805037730431,0.7107805498942769,0.6459626345003479,0.6401572519581,0.4122204326060127,0.7736201968473939
Consumer Discretionary,0.7484278667031246,1.0,0.5131644470703607,0.5206051742889054,0.8311204228321736,0.7085138734822891,0.8875235379406978,0.7842407409933413,0.8161777724848842,0.7102127308999967,0.40343207656600577,0.8332373078181146
Consumer Staples,0.3921166531073835,0.5131644470703607,1.0,0.35563764349614124,0.4352705251223971,0.5717951587733832,0.4809085795926652,0.22363374662294205,0.6251083948623651,0.6612207401890946,0.5323975169905275,0.3574483172411163
Energy,0.48543372836789905,0.5206051742889054,0.35563764349614124,1.0,0.5693570971247102,0.45282769469014184,0.588429411894297,0.5315736512177276,0.6358073735815953,0.5147420254067239,0.36800585163447525,0.5791044529069418
Financials,0.7735210895635773,0.8311204228321736,0.4352705251223971,0.5693570971247102,1.0,0.693838738107208,0.845504438283797,0.7602798787666973,0.7204088536361997,0.7021566786223069,0.4415792328332597,0.8413024494861645
Health Care,0.600022835680129,0.7085138734822891,0.5717951587733832,0.45282769469014184,0.693838738107208,1.0,0.7387545902556601,0.6208316610210599,0.7320618757052799,0.7109718388033216,0.4652663621997718,0.6885419262145529
Industrials,0.7375805037730431,0.8875235379406978,0.4809085795926652,0.588429411894297,0.845504438283797,0.7387545902556601,1.0,0.8437228783909517,0.8444845428060159,0.7140486030449175,0.4840774154148848,0.8819445537962313
Information Technology,0.7107805498942769,0.7842407409933413,0.22363374662294205,0.5315736512177276,0.7602798787666973,0.6208316610210599,0.8437228783909517,1.0,0.6883204937933401,0.542420240056364,0.3620378177335232,0.9285091335402851
Materials,0.6459626345003479,0.8161777724848842,0.6251083948623651,0.6358073735815953,0.7204088536361997,0.7320618757052799,0.8444845428060159,0.6883204937933401,1.0,0.7343606311905447,0.4976259224096191,0.7574260498510462
Real Estate,0.6401572519581,0.7102127308999967,0.6612207401890946,0.5147420254067239,0.7021566786223069,0.7109718388033216,0.7140486030449175,0.542420240056364,0.7343606311905447,1.0,0.6481023538457822,0.6445325344264363
Utilities,0.4122204326060127,0.40343207656600577,0.5323975169905275,0.36800585163447525,0.4415792328332597,0.4652663621997718,0.4840774154148848,0.3620378177335232,0.4976259224096191,0.6481023538457822,1.0,0.4613604917242995
SPY,0.7736201968473939,0.8332373078181146,0.3574483172411163,0.5791044529069418,0.8413024494861645,0.6885419262145529,0.8819445537962313,0.9285091335402851,0.7574260498510462,0.6445325344264363,0.4613604917242995,1.0
