Date|Time|Symbol|Strike|Call_Put|Expiration|Alert_Type|Side|Vol|OI|Vol_OI_Ratio|Premium|OTM_Pct|Bid_Ask_Pct|Avg_Fill|Multileg_Vol
2025-12-30|07:43:56|INTC|39.0|CALL|1/2/2026|Hot Contract|Ask|0|4315|1.59|100K|5%|2/88|0.15|0%
2025-12-30|07:44:05|RKT|23.0|CALL|2/20/2026|Hot Contract|Ask|0|313|13.66|158K|19%|0/100|0.37|0%
2025-12-30|07:44:49|RKT|23.0|CALL|2/20/2026|Interval (5 min)|Ask|0|313|17.12|201K|18%|0/100|0.38|0%
2025-12-30|07:45:02|SLS|4.0|CALL|4/17/2026|Hot Contract|Ask|0|362|6.96|239K|11%|0/94|0.95|0%
2025-12-30|07:46:59|AMD|212.5|CALL|1/16/2026|Interval (5 min)|Ask|0|282|3.66|1.02M||0/100|9.90|0%
2025-12-30|07:47:00|AMD|212.5|CALL|1/16/2026|Hot Contract|Ask|0|282|5.06|1.41M||1/99|9.90|0%
2025-12-30|07:50:47|MRNA|28.0|PUT|4/17/2026|Interval (5 min)|Ask|0|317|3.18|308K|10%|0/100|3.05|0%
2025-12-30|08:11:08|AAPL|272.5|CALL|1/9/2026|Hot Contract|Ask|1|1733|1.51|969K|0%|9/84|3.71|1%
2025-12-30|08:22:30|OXY|42.0|CALL|1/16/2026|Interval (5 min)|Ask|0|1542|5.05|480K|2%|29/70|0.62|0%
2025-12-30|08:44:03|AMD|235.0|CALL|1/30/2026|Interval (5 min)|Ask|0|554|1.81|465K|9%|4/96|4.65|0%
2025-12-30|08:44:54|AMD|235.0|CALL|1/30/2026|Hot Contract|Ask|0|554|2.00|517K|9%|12/88|4.66|0%
2025-12-30|08:45:20|HPE|21.0|PUT|2/20/2026|Hot Contract|Ask|0|1366|3.20|107K|14%|5/95|0.25|0%
2025-12-30|08:59:37|INTC|65.0|CALL|7/17/2026|Hot Contract|Ask|0|1840|2.79|568K|72%|2/98|1.11|0%
2025-12-30|09:01:28|TSLA|635.0|CALL|2/20/2026|Interval (5 min)|Ask|0|241|10.85|949K|38%|7/72|3.63|0%
2025-12-30|09:01:42|TSLA|665.0|CALL|2/20/2026|Interval (5 min)|Ask|0|176|7.86|372K|44%|8/92|2.69|0%
2025-12-30|09:01:43|TSLA|665.0|CALL|2/20/2026|Hot Contract|Ask|0|176|12.02|569K|44%|5/95|2.69|0%
2025-12-30|09:03:11|SLS|4.0|CALL|4/17/2026|Hot Contract|Ask|0|362|22.82|833K|10%|12/78|1.01|0%
2025-12-30|09:14:02|OXY|43.0|CALL|1/16/2026|Hot Contract|Ask|0|298|9.07|101K|4%|1/98|0.37|0%
2025-12-30|09:25:25|CORT|85.0|CALL|8/21/2026|Hot Contract|Ask|0|137|7.30|1.55M|12%|30/70|15.48|0%
2025-12-30|09:37:28|AAPL|272.5|CALL|1/9/2026|Hot Contract|Ask|4|1733|2.03|1.29M|0%|19/74|3.65|4%
2025-12-30|09:55:15|NBIS|50.0|PUT|2/20/2026|Hot Contract|Ask|0|584|4.28|200K|42%|0/100|0.80|0%
2025-12-30|10:22:26|SOFI|27.0|CALL|1/9/2026|Hot Contract|Ask|2|3510|1.63|456K|0%|20/79|0.80|2%
2025-12-30|10:50:51|SMR|20.0|CALL|6/18/2026|Interval (5 min)|Ask|0|1467|1.30|478K|41%|0/100|2.50|0%
2025-12-30|10:50:52|SMR|20.0|CALL|6/18/2026|Hot Contract|Ask|0|1467|2.05|752K|41%|0/100|2.50|0%
2025-12-30|10:50:53|SMR|20.0|CALL|6/18/2026|Hot Contract|Ask|0|1467|2.05|752K|41%|0/100|2.50|0%
2025-12-30|11:03:46|ABVX|165.0|CALL|2/6/2026|Hot Contract|Ask|0|||593K|20%|19/81|10.98|0%
2025-12-30|11:05:26|TSLA|665.0|CALL|2/20/2026|Hot Contract|Ask|0|176|14.27|676K|45%|9/89|2.69|0%
2025-12-30|11:11:51|OXY|43.0|CALL|1/16/2026|Hot Contract|Ask|1|298|41.76|515K|4%|19/78|0.41|1%
2025-12-30|11:16:47|ABVX|160.0|CALL|2/6/2026|Hot Contract|Ask|0|||536K|15%|6/94|13.40|0%
2025-12-30|12:03:17|ASML|1240.0|CALL|2/20/2026|Hot Contract|Ask|0|59|5.03|500K|15%|18/78|16.84|0%
2025-12-30|12:17:19|EVLV|8.0|CALL|2/20/2026|Hot Contract|Ask|0|58|86.50|196K|16%|13/87|0.39|0%
2025-12-30|12:20:03|EVLV|8.0|CALL|2/20/2026|Interval (5 min)|Ask|0|58|88.07|201K|14%|14/85|0.39|0%
