Date|Time|Description
2025-12-29|04:28:07|INTEL - SELLS 214.8 MLN SHARES TO NVIDIA FOR $5.0 BLN - SEC FILING
2025-12-29|04:52:07|CITI SEES FY 2026 S&P 500 BASE CASE OF 7700
2025-12-29|05:31:09|$NVDA** - BERNSTEIN ON NVIDIA’S GROQ DEAL**  Bernstein analyst Stacy A. Rasgon reiterated an Outperform rating and $275 price target on NVIDIA.  NVIDIA reportedly agreed to a $20B deal with AI chip startup Groq  which was later described as a non-exclusive licensing agreement for Groq’s inference technology. Key Groq executives will join NVIDIA  while Groq remains independent under new CEO Simon Edwards and continues its cloud operations.  Bernstein sees the move as strategic  strengthening NVIDIA’s position in AI inference—a more competitive area than training—and reinforcing its market leadership as inference demand scales.
2025-12-29|06:07:07|$MSTR - STRATEGY ACQUIRES 1 229 BTC  RAISES $108.8M FROM ATM
2025-12-29|06:10:07|CHINA DEFENCE MINISTRY:  URGES RELEVANT COUNTRIES TO ABANDON ILLUSIONS OF USING TAIWAN TO CONTAIN CHINA
2025-12-29|06:29:07|PUTIN TELLS RUSSIAN GENERALS: IT'S NECESSARY TO CONTINUE OPERATION TO GAIN CONTROL OF THE CITY OF ZAPORIZHZHIA
2025-12-29|06:43:08|SPOT SILVER PLUNGES 7% INTRADAY
2025-12-29|07:08:07|$TSLA** - STIFEL ON TESLA FSD UPDATE**  Stifel noted that Tesla released FSD (Supervised) Version 14.2.2 on December 22  introducing UI  safety  and usability enhancements.  The update focuses on improving real-world driving behavior  system reliability  and customization  while adding features such as improved trip completion  dashcam playback  and camera visibility monitoring. Early driver feedback highlights smoother steering  more confident lane changes  better obstacle awareness  and improved performance in rain and heavy traffic.
2025-12-29|07:20:07|SPOT GOLD  EXTENDS LOSSES  LAST DOWN OVER 3% AT $4 385.29/OZ
2025-12-29|07:21:07|SPOT PALLADIUM  EXTENDS LOSSES  LAST DOWN 15% AT $1 608.25/OZ
2025-12-29|07:50:07|NETANYAHU: MUSK DISCUSS COOPERATION WITH TESLA  NETANYAHU: PLANS TO MAKE ISRAEL LEADER IN AI TECHNOLOGIES
2025-12-29|08:01:07|*US NOV. PENDING HOME SALES RISE 3.3% M/M; EST. 1.0%
2025-12-29|08:01:08|US $2 BILLION AID PLEDGE A 'LANDMARK INVESTMENT IN HUMANITY' -UN AID CHIEF TOM FLETCHER
2025-12-29|08:11:07|UKRAINE TRIED TO ATTACK PUTIN RESIDENCE IN NOVGOROD REGION - IFX
2025-12-29|08:12:07|RUSSIA WILL RETALIATE - TASS CITES LAVROV  RUSSIA WILL CHANGE ITS NEGIOTIATING POSITION - TASS
2025-12-29|08:12:08|**TIME NEEDED FOR HOME DOWN PAYMENTS DROPS TO 7 YEARS**  Realtor reports that saving for a home down payment remains a major barrier to U.S. homeownership  despite improving market conditions. In 2025  the typical household needed seven years to save for a down payment  down from a peak of 12 years in 2022.  Rising home prices and competition have pushed down payments higher  while inflation has constrained savings. The personal savings rate has averaged 5.1% of income in 2025  below the pre-pandemic norm of 6.5%. Typical down payments rose from $13 900 in 3Q 2019 to $30 400 in 3Q 2025.
2025-12-29|08:13:08|TARGETS AND TIMING OF RUSSIAN COUNTERSTRIKE AFTER ATTACK ON PUTIN'S STATE RESIDENCE DETERMINED - TASS
2025-12-29|08:22:08|SPOT SILVER PLUNGES 10% INTRADAY
2025-12-29|08:25:07|SPOT GOLD  EXTENDS DECLINE  LAST DOWN 5% AT $4 302.59/OZ
2025-12-29|08:55:08|WHITE HOUSE SPOKESWOMAN: PRESIDENT TRUMP HAS CONCLUDED A POSITIVE CALL WITH PRESIDENT PUTIN CONCERNING UKRAINE
