sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,SPY
Communication Services,1.0,0.5987803226311413,-0.017309973143141137,-0.03594952775702683,0.6462605467420638,0.35342270980522933,0.4778044595245922,0.6326477529483068,0.28547636320318864,0.31789268792937536,0.004087950761988118,0.6276998303054447
Consumer Discretionary,0.5987803226311413,1.0,0.5168053880286484,0.0836243515687341,0.8192202193372309,0.7360292423752878,0.8641055025122214,0.7090642130017871,0.7375769037742447,0.6139597160658131,0.1673740362123156,0.7800541615874423
Consumer Staples,-0.017309973143141137,0.5168053880286484,1.0,0.11301359931384442,0.272169010001722,0.5186036507017475,0.5721797362265097,0.12782854711559588,0.6875711968066285,0.6170300367236761,0.4882562971959915,0.25963237568865616
Energy,-0.03594952775702683,0.0836243515687341,0.11301359931384442,1.0,-0.028311034701371144,-0.008966497905322163,0.06076406837359645,0.033246746090503244,0.24966495572607028,0.1996836685592776,0.06271052025379682,-0.03828389422560158
Financials,0.6462605467420638,0.8192202193372309,0.272169010001722,-0.028311034701371144,1.0,0.5357235632862687,0.7830434341367234,0.6927325552666699,0.4953863001196634,0.4751900240319569,0.005865173569472303,0.7891142312152677
Health Care,0.35342270980522933,0.7360292423752878,0.5186036507017475,-0.008966497905322163,0.5357235632862687,1.0,0.6828538398046424,0.44019097719022815,0.7067839442263057,0.5609594439914591,0.1758037609839036,0.5886812120963029
Industrials,0.4778044595245922,0.8641055025122214,0.5721797362265097,0.06076406837359645,0.7830434341367234,0.6828538398046424,1.0,0.7429464369945626,0.731503326499163,0.6037912622484523,0.2805047923425305,0.8238761453415492
Information Technology,0.6326477529483068,0.7090642130017871,0.12782854711559588,0.033246746090503244,0.6927325552666699,0.44019097719022815,0.7429464369945626,1.0,0.43495786742958303,0.3087763744138738,0.10807700164546138,0.8851639129802044
Materials,0.28547636320318864,0.7375769037742447,0.6875711968066285,0.24966495572607028,0.4953863001196634,0.7067839442263057,0.731503326499163,0.43495786742958303,1.0,0.6426617741891475,0.3810810910840418,0.5482459379945122
Real Estate,0.31789268792937536,0.6139597160658131,0.6170300367236761,0.1996836685592776,0.4751900240319569,0.5609594439914591,0.6037912622484523,0.3087763744138738,0.6426617741891475,1.0,0.5360551678587518,0.41830180625303603
Utilities,0.004087950761988118,0.1673740362123156,0.4882562971959915,0.06271052025379682,0.005865173569472303,0.1758037609839036,0.2805047923425305,0.10807700164546138,0.3810810910840418,0.5360551678587518,1.0,0.20200623707692625
SPY,0.6276998303054447,0.7800541615874423,0.25963237568865616,-0.03828389422560158,0.7891142312152677,0.5886812120963029,0.8238761453415492,0.8851639129802044,0.5482459379945122,0.41830180625303603,0.20200623707692625,1.0
